[12:23:48] pool: 1187 prompts
[18:51:06] iter 58: reward=0.5538 degenerate=54/72 rows=[A1:19 A2:56 A3:16] 381.8s
[18:58:21] iter 59: reward=0.7552 degenerate=61/72 rows=[A1:9 A2:40 A3:0] 434.3s
[19:04:50] iter 60: reward=0.6372 degenerate=59/72 rows=[A1:14 A2:48 A3:8] 388.9s
[19:09:51] iter 61: reward=0.6389 degenerate=54/72 rows=[A1:17 A2:64 A3:0] 300.9s
[19:17:52] iter 62: reward=0.4358 degenerate=56/72 rows=[A1:16 A2:56 A3:16] 481.7s
[19:24:15] iter 63: reward=0.5816 degenerate=58/72 rows=[A1:26 A2:40 A3:8] 382.8s
[19:31:20] iter 64: reward=0.7569 degenerate=56/72 rows=[A1:17 A2:48 A3:16] 424.4s
[19:37:21] iter 65: reward=0.6510 degenerate=56/72 rows=[A1:24 A2:40 A3:0] 360.7s
[19:43:13] iter 66: reward=0.6181 degenerate=56/72 rows=[A1:20 A2:56 A3:0] 352.5s
[19:48:32] iter 67: reward=0.7066 degenerate=62/72 rows=[A1:10 A2:32 A3:0] 318.7s
[19:56:16] iter 68: reward=0.7483 degenerate=57/72 rows=[A1:29 A2:48 A3:8] 463.4s
[20:01:16] iter 69: reward=0.6337 degenerate=55/72 rows=[A1:27 A2:40 A3:16] 300.7s
[20:07:18] iter 70: reward=0.6424 degenerate=57/72 rows=[A1:26 A2:40 A3:8] 361.5s
[20:12:22] iter 71: reward=0.7274 degenerate=57/72 rows=[A1:27 A2:56 A3:8] 303.7s
[20:16:16] iter 72: reward=0.7240 degenerate=62/72 rows=[A1:12 A2:32 A3:8] 233.9s
[20:22:55] iter 73: reward=0.5955 degenerate=58/72 rows=[A1:24 A2:48 A3:0] 398.8s
[20:28:18] iter 74: reward=0.6858 degenerate=56/72 rows=[A1:27 A2:48 A3:8] 323.2s
[20:36:34] iter 75: reward=0.5087 degenerate=63/72 rows=[A1:15 A2:24 A3:8] 496.1s
[20:43:34] iter 76: reward=0.3715 degenerate=53/72 rows=[A1:26 A2:70 A3:24] 419.7s
[20:48:33] iter 77: reward=0.7569 degenerate=59/72 rows=[A1:16 A2:48 A3:0] 298.9s
[20:52:52] iter 78: reward=0.7083 degenerate=61/72 rows=[A1:29 A2:16 A3:1] 258.4s
[20:59:04] iter 79: reward=0.4983 degenerate=60/72 rows=[A1:30 A2:32 A3:8] 372.2s
[21:03:54] iter 80: reward=0.7031 degenerate=53/72 rows=[A1:31 A2:56 A3:16] 289.6s
[21:08:29] iter 81: reward=0.6858 degenerate=64/72 rows=[A1:17 A2:24 A3:0] 275.3s
[21:23:19] iter 82: reward=0.6389 degenerate=54/72 rows=[A1:43 A2:56 A3:15] 889.3s
[21:34:23] iter 83: reward=0.5278 degenerate=57/72 rows=[A1:39 A2:40 A3:8] 664.0s
[21:41:22] iter 84: reward=0.6875 degenerate=53/72 rows=[A1:55 A2:48 A3:8] 419.7s
[21:46:26] iter 85: reward=0.5833 degenerate=51/72 rows=[A1:43 A2:64 A3:16] 303.6s
[21:53:50] iter 86: reward=0.5365 degenerate=62/72 rows=[A1:36 A2:0 A3:16] 444.2s
[21:57:16] iter 87: reward=0.6094 degenerate=60/72 rows=[A1:28 A2:32 A3:7] 205.3s
[22:01:31] iter 88: reward=0.8142 degenerate=56/72 rows=[A1:48 A2:48 A3:0] 255.0s
[22:06:47] iter 89: reward=0.6997 degenerate=56/72 rows=[A1:33 A2:55 A3:24] 316.2s
[22:10:52] iter 90: reward=0.7344 degenerate=60/72 rows=[A1:38 A2:32 A3:0] 244.6s
[22:16:45] iter 91: reward=0.5990 degenerate=61/72 rows=[A1:31 A2:16 A3:8] 353.0s
[22:22:49] iter 92: reward=0.5017 degenerate=51/72 rows=[A1:36 A2:56 A3:16] 363.4s
[22:27:49] iter 93: reward=0.7188 degenerate=60/72 rows=[A1:11 A2:56 A3:0] 300.3s
[22:33:46] iter 94: reward=0.6997 degenerate=58/72 rows=[A1:24 A2:35 A3:8] 356.5s
[22:40:15] iter 95: reward=0.5920 degenerate=50/72 rows=[A1:59 A2:53 A3:8] 389.2s
[22:44:49] iter 96: reward=0.6979 degenerate=55/72 rows=[A1:36 A2:56 A3:0] 274.4s
[22:51:15] iter 97: reward=0.5556 degenerate=53/72 rows=[A1:20 A2:56 A3:32] 385.8s
[22:57:24] iter 98: reward=0.4931 degenerate=63/72 rows=[A1:13 A2:31 A3:0] 368.6s
[23:02:03] iter 99: reward=0.6997 degenerate=62/72 rows=[A1:12 A2:48 A3:0] 278.6s
[23:07:21] iter 100: reward=0.7014 degenerate=56/72 rows=[A1:17 A2:40 A3:8] 317.9s
[23:12:45] iter 101: reward=0.6181 degenerate=56/72 rows=[A1:14 A2:56 A3:8] 324.3s
[23:17:52] iter 102: reward=0.5677 degenerate=63/72 rows=[A1:0 A2:40 A3:0] 306.7s
[23:25:20] iter 103: reward=0.8299 degenerate=60/72 rows=[A1:12 A2:32 A3:16] 447.7s
[23:30:48] iter 104: reward=0.6806 degenerate=59/72 rows=[A1:21 A2:40 A3:16] 328.2s
[23:36:55] iter 105: reward=0.7135 degenerate=61/72 rows=[A1:4 A2:32 A3:8] 366.7s
[23:41:06] iter 106: reward=0.6354 degenerate=59/72 rows=[A1:5 A2:32 A3:16] 250.9s
[23:45:44] iter 107: reward=0.6458 degenerate=56/72 rows=[A1:12 A2:56 A3:8] 278.0s
[23:49:58] iter 108: reward=0.7448 degenerate=58/72 rows=[A1:16 A2:40 A3:8] 254.1s
[23:56:50] iter 109: reward=0.6406 degenerate=53/72 rows=[A1:17 A2:64 A3:16] 411.2s
[00:05:07] iter 110: reward=0.7135 degenerate=59/72 rows=[A1:7 A2:40 A3:0] 496.9s
[00:08:56] iter 111: reward=0.5538 degenerate=64/72 rows=[A1:14 A2:16 A3:0] 229.7s
[00:13:38] iter 112: reward=0.5521 degenerate=59/72 rows=[A1:13 A2:45 A3:0] 281.6s
[00:18:35] iter 113: reward=0.6649 degenerate=45/72 rows=[A1:26 A2:72 A3:16] 296.8s
[00:24:57] iter 114: reward=0.6597 degenerate=59/72 rows=[A1:10 A2:56 A3:0] 382.5s
[00:29:29] iter 115: reward=0.8628 degenerate=58/72 rows=[A1:16 A2:40 A3:16] 271.5s
[00:34:48] iter 116: reward=0.6302 degenerate=52/72 rows=[A1:18 A2:64 A3:8] 318.4s
[00:38:49] iter 117: reward=0.5833 degenerate=61/72 rows=[A1:5 A2:32 A3:8] 240.9s
[00:43:09] iter 118: reward=0.6580 degenerate=54/72 rows=[A1:13 A2:72 A3:0] 260.2s
[00:47:42] iter 119: reward=0.6458 degenerate=57/72 rows=[A1:25 A2:48 A3:8] 272.8s
